date,open,high,low,close,volume,Name
1/31/2018,1451.3,1472.58,1450.04,1450.89,6424693,AMZN
2/6/2018,1361.46,1443.99,1351.79,1442.84,11066819,AMZN
1/30/2018,1403.17,1439.25,1392,1437.82,5871942,AMZN
2/2/2018,1477.39,1498,1414,1429.95,11125722,AMZN
1/29/2018,1409.18,1431.39,1400.44,1417.68,5701898,AMZN
2/7/2018,1449,1460.99,1415.15,1416.78,7162741,AMZN
1/26/2018,1392.01,1402.53,1380.91,1402.05,4857310,AMZN
2/1/2018,1445,1459.88,1385.14,1390,9113808,AMZN
2/5/2018,1402.62,1458.98,1320.72,1390,11494985,AMZN
1/25/2018,1368,1378.34,1357.62,1377.95,4753012,AMZN
1/23/2018,1338.09,1364.9,1337.34,1362.54,5169306,AMZN
1/24/2018,1374.82,1388.16,1338,1357.51,6807457,AMZN
1/22/2018,1297.17,1327.45,1296.66,1327.31,4140061,AMZN
1/12/2018,1273.39,1305.76,1273.39,1305.2,5443730,AMZN
1/16/2018,1323,1339.94,1292.3,1304.86,7220701,AMZN
1/17/2018,1312.24,1314,1280.88,1295,5253754,AMZN
1/19/2018,1312,1313,1292.99,1294.58,4578536,AMZN
1/18/2018,1293.95,1304.6,1284.02,1293.32,4026915,AMZN
1/11/2018,1259.74,1276.77,1256.46,1276.68,3125048,AMZN
1/10/2018,1245.15,1254.33,1237.23,1254.33,2686017,AMZN
1/9/2018,1256.9,1259.33,1241.76,1252.7,3661316,AMZN
1/8/2018,1236,1253.08,1232.03,1246.87,4279475,AMZN
1/5/2018,1217.51,1229.14,1210,1229.14,3544743,AMZN
1/4/2018,1205,1215.87,1204.66,1209.59,3022089,AMZN
1/3/2018,1188.3,1205.49,1188.3,1204.2,3108793,AMZN
11/27/2017,1202.66,1213.41,1191.15,1195.83,6744045,AMZN
11/28/2017,1204.88,1205.34,1188.52,1193.6,4559449,AMZN
12/18/2017,1187.37,1194.78,1180.91,1190.58,2947625,AMZN
1/2/2018,1172,1190,1170.51,1189.01,2694494,AMZN
1/26/2018,1187.53,1187.56,1168.03,1187.56,2108502,GOOGL
12/19/2017,1189.15,1192.97,1179.14,1187.38,2587792,AMZN
1/29/2018,1188,1198,1184.06,1186.48,1574708,GOOGL
12/28/2017,1189,1190.1,1184.38,1186.1,1841676,AMZN
11/24/2017,1160.7,1186.84,1160.7,1186,3528011,AMZN
12/27/2017,1179.91,1187.29,1175.61,1182.26,1867208,AMZN
1/31/2018,1183.81,1186.32,1172.1,1182.22,1801135,GOOGL
1/25/2018,1180.71,1185,1171.84,1182.14,1499247,GOOGL
2/1/2018,1175.99,1187.45,1169.36,1181.59,3675709,GOOGL
12/15/2017,1179.03,1182.75,1169.33,1179.14,4778621,AMZN
12/20/2017,1190.5,1191,1176,1177.62,2371166,AMZN
1/30/2018,1177.72,1187.93,1174.51,1177.37,1866883,GOOGL
12/26/2017,1168.36,1178.32,1160.55,1176.76,2005187,AMZN
11/30/2017,1167.1,1178.57,1160,1176.75,4509208,AMZN
1/23/2018,1170.62,1178.51,1167.25,1176.17,1956865,GOOGL
1/26/2018,1175.08,1175.84,1158.11,1175.84,2018755,GOOG
1/29/2018,1176.48,1186.89,1171.98,1175.58,1378913,GOOG
12/21/2017,1175.9,1179.17,1167.64,1174.76,2123117,AMZN
12/14/2017,1163.71,1177.93,1162.45,1174.26,3214337,AMZN
1/24/2018,1184.98,1187.05,1167.4,1171.29,1856429,GOOGL
1/25/2018,1172.53,1175.94,1162.76,1170.37,1480540,GOOG
1/23/2018,1159.85,1171.63,1158.75,1169.97,1333056,GOOG
1/31/2018,1170.57,1173,1159.13,1169.94,1538688,GOOG
12/29/2017,1182.35,1184,1167.5,1169.47,2688391,AMZN
12/11/2017,1164.6,1169.9,1157,1168.92,2363473,AMZN
12/22/2017,1172.08,1174.62,1167.83,1168.36,1585054,AMZN
2/1/2018,1162.61,1174,1157.52,1167.7,2412114,GOOG
12/12/2017,1166.51,1173.6,1161.61,1165.08,2235892,AMZN
1/24/2018,1177.33,1179.86,1161.05,1164.24,1416625,GOOG
1/22/2018,1143.82,1166.88,1141.82,1164.16,1477520,GOOGL
12/13/2017,1170,1170.87,1160.27,1164.13,2616760,AMZN
1/30/2018,1167.83,1176.52,1163.52,1163.69,1556346,GOOG
12/1/2017,1172.05,1179.65,1152,1162.35,4107094,AMZN
12/8/2017,1170.4,1172.79,1157.1,1162,3050074,AMZN
11/29/2017,1194.8,1194.8,1145.19,1161.27,9257512,AMZN
12/7/2017,1156.59,1163.19,1151,1159.79,2511569,AMZN
11/22/2017,1141,1160.27,1141,1156.16,3555273,AMZN
1/22/2018,1137.49,1159.88,1135.11,1155.81,1617975,GOOG
12/6/2017,1137.99,1155.89,1136.08,1152.35,2853316,AMZN
1/19/2018,1138.03,1143.78,1132.5,1143.5,1527554,GOOGL
12/5/2017,1128.26,1159.27,1124.74,1141.57,4079774,AMZN
11/21/2017,1132.86,1140,1128.2,1139.49,2479397,AMZN
1/17/2018,1136.36,1139.32,1123.49,1139.1,1391510,GOOGL
1/19/2018,1131.83,1137.86,1128.3,1137.51,1778229,GOOG
11/16/2017,1130.16,1138.16,1130.05,1137.29,2213322,AMZN
11/14/2017,1130.11,1138,1123.89,1136.84,3138423,AMZN
1/18/2018,1139.35,1140.59,1124.46,1135.97,1374873,GOOGL
12/4/2017,1173.85,1175.2,1128,1133.95,5931915,AMZN
11/8/2017,1122.82,1135.54,1119.11,1132.88,2581451,AMZN
1/17/2018,1126.22,1132.6,1117.01,1131.98,1202639,GOOG
1/16/2018,1140.31,1148.88,1126.66,1130.7,1823100,GOOGL
1/12/2018,1110.1,1131.3,1108.01,1130.65,1929306,GOOGL
11/17/2017,1138.28,1138.8,1125.81,1129.88,2413388,AMZN
1/18/2018,1131.41,1132.51,1117.5,1129.79,1198234,GOOG
11/13/2017,1123,1139.9,1122.34,1129.17,2918439,AMZN
11/9/2017,1125.96,1129.62,1115.77,1129.13,3725774,AMZN
11/15/2017,1127.01,1131.75,1121.63,1126.69,3928680,AMZN
11/20/2017,1129.77,1133.42,1122.55,1126.31,2163855,AMZN
11/10/2017,1126.1,1131.75,1124.06,1125.35,2179937,AMZN
11/7/2017,1124.74,1130.6,1117.5,1123.17,2688977,AMZN
1/12/2018,1102.41,1124.29,1101.15,1122.26,1720533,GOOG
1/16/2018,1132.51,1139.91,1117.83,1121.76,1575261,GOOG
11/6/2017,1109.15,1125.41,1108.77,1120.66,3381138,AMZN
2/2/2018,1127.42,1131.3,1111.17,1119.2,5892122,GOOGL
1/8/2018,1111,1119.16,1110,1114.21,1232221,GOOGL
1/9/2018,1118.44,1118.44,1108.2,1112.79,1340381,GOOGL
1/11/2018,1112.31,1114.85,1106.48,1112.05,1121216,GOOGL
2/2/2018,1122,1123.07,1107.28,1111.9,4857943,GOOG
11/3/2017,1091.15,1112.68,1088.52,1111.6,3751480,AMZN
